Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status
0,01,45.0,29788.01035434741,29830.942368245327,0.4564728023106884,-2.1506068578117303,2.142592246468642,0.04564725594301989,-2.149022013387462,2.1441793764044914,0.045647280231068836,29809.500574481284,29809.50057448128,0,non-stationkeeping
10,01,45.0,29765.5150831275,29852.93992999958,1.092174456947822,-2.251110805359314,2.198167839236957,0.06357010734987616,-2.249527121991231,2.1997561754250925,0.06357016546371336,29787.749668034976,29831.235621651384,0,non-stationkeeping
20,01,45.0,29744.17332596042,29876.31603620084,1.8257421034132812,-2.135758096025169,2.3360212095075603,0.07335666751043594,-2.134175716707797,2.337610620125832,0.07335676464654592,29765.98291388439,29852.954797981765,0,non-stationkeeping
30,01,45.0,29724.4331094079,29900.178123077847,2.897056573529037,-1.9756026474962258,2.38461834651864,0.10713129291048494,-1.974021655251859,2.3862086877008264,0.10713144701157556,29744.20032360989,29874.65809191739,0,non-stationkeeping
40,01,45.0,29703.63814504594,29924.520638636626,5.244877434248618,-2.0810760284622325,2.432660216071089,0.2347818071367918,-2.0794964361956922,2.4342515558778834,0.23478208607195816,29722.40190880028,29896.34549191164,0,non-stationkeeping
50,01,45.0,29683.184651273084,29948.069172872325,8.104413439513195,-2.046927621808204,2.3532610938679692,0.2859531695853183,-2.045349377285832,2.354853423569816,0.2859536005264577,29700.587681052766,29918.01698642637,0,non-stationkeeping
60,01,45.0,29662.605986233422,29970.6190459246,10.366046027997344,-2.0594434814396934,2.2533939512383254,0.2261627077084705,-2.057866503966202,2.2549873052272607,0.22616325884841484,29678.757651972963,29939.672563931894,0,non-stationkeeping
70,01,45.0,29642.87185884083,29993.183596354123,11.741311853139457,-1.9749884246665974,2.2548607351392955,0.13752595835062983,-1.973412739259301,2.256455042952486,0.13752658251421138,29656.91183317492,29961.312212906985,0,non-stationkeeping
80,01,45.0,29622.598145604272,30016.32674934678,12.821126267851596,-2.028945682650025,2.3127200133190096,0.1079807600127935,-2.0273713236556956,2.3143152992656493,0.107981441471214,29635.05023628105,29982.935921838918,0,non-stationkeeping
90,01,45.0,29600.921922049387,30040.048293369266,13.938127753614527,-2.169195375485065,2.3705580453059514,0.11169940783593504,-2.1676223554885676,2.3721544022487433,0.11170014857629305,29613.17287292219,30004.543679223407,0,non-stationkeeping
