Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status
0,01,45.0,29787.274353045064,29830.23280912064,-0.1579516206754181,-2.222622143621958,2.0732234639358653,-0.01579516206754181,0.0,0.0,0,29809.500574481284,29809.50057448128,0,non-stationkeeping
10,01,45.0,29763.877938954516,29851.9719851759,-0.02880961281444197,-2.3396414090549675,2.173917605526112,0.012914200786097611,0.0,0.0,0,29787.749668034976,29831.235621651384,0,non-stationkeeping
20,01,45.0,29741.21979086929,29873.34921760445,0.316880775410343,-2.2658148085225585,2.137723242854823,0.0345690388224785,0.0,0.0,0,29765.98291388439,29852.954797981765,0,non-stationkeeping
30,01,45.0,29717.80779225793,29893.864352038236,1.4633243376176508,-2.341199861136019,2.0515134433785396,0.11464435622073078,0.0,0.0,0,29744.20032360989,29874.65809191739,0,non-stationkeeping
40,01,45.0,29693.270339440445,29913.861387909743,1.8798877826048523,-2.453745281748344,1.9997035871507642,0.04165634449872016,0.0,0.0,0,29722.40190880028,29896.34549191164,0,non-stationkeeping
50,01,45.0,29669.63860327555,29931.927536490457,1.2531278608976324,-2.3631736164892923,1.8066148580713124,-0.06267599217072199,0.0,0.0,0,29700.587681052766,29918.01698642637,0,non-stationkeeping
60,01,45.0,29646.706537619568,29948.810775867307,1.969755853903112,-2.2932065655983864,1.6883239376848787,0.07166279930054796,0.0,0.0,0,29678.757651972963,29939.672563931894,0,non-stationkeeping
70,01,45.0,29623.421544442903,29966.62067102897,2.4762243393957832,-2.328499317666601,1.7809895161664562,0.050646848549267126,0.0,0.0,0,29656.91183317492,29961.312212906985,0,non-stationkeeping
80,01,45.0,29601.409136585036,29983.083095657283,3.1259236962503874,-2.2012407857865153,1.6462424628313121,0.06496993568546039,0.0,0.0,0,29635.05023628105,29982.935921838918,0,non-stationkeeping
90,01,45.0,29577.993130882707,29999.706405533976,3.7847192331257933,-2.3416005702329126,1.6623309876691725,0.0658795536875406,0.0,0.0,0,29613.17287292219,30004.543679223407,0,non-stationkeeping
100,01,45.0,29554.83775548341,30015.148628157087,5.935265494661303,-2.3155375399295557,1.5442222623111925,0.21505462615355098,0.0,0.0,0,29591.279754737552,30026.135473564686,0,non-stationkeeping
110,01,45.0,29531.144910948602,30030.213187408048,7.388928784616475,-2.369284453480972,1.5064559250960476,0.1453663289955171,0.0,0.0,0,29569.370893374733,30047.71129337546,0,non-stationkeeping
120,01,45.0,29508.10486023026,30045.312249684175,7.808574448692292,-2.3040050718340033,1.5099062276128856,0.041964566407581755,0.0,0.0,0,29547.4463004897,30069.271127176955,0,non-stationkeeping
130,01,45.0,29485.14242167405,30061.759167894543,8.623101195385908,-2.296243855621387,1.644691821036831,0.08145267466936157,0.0,0.0,0,29525.50598774679,30090.814963498884,0,non-stationkeeping
140,01,45.0,29461.12897319178,30078.204766491093,9.145895674578458,-2.401344848226886,1.6445598596551865,0.0522794479192549,0.0,0.0,0,29503.54996681872,30112.342790879477,0,non-stationkeeping
150,01,45.0,29437.04130716616,30093.996397784398,9.323480217137158,-2.4087666025618883,1.5791631293305293,0.017758454255870026,0.0,0.0,0,29481.57824938654,30133.854597865477,0,non-stationkeeping
160,01,45.0,29412.13954338183,30109.825245930202,10.434315062312415,-2.490176378433241,1.5828848145803827,0.1110834845175257,0.0,0.0,0,29459.59084713967,30155.350373012163,0,non-stationkeeping
170,01,45.0,29384.680404870425,30124.9212188014,11.088452531087222,-2.745913851140433,1.5095972871198367,0.06541374687748085,0.0,0.0,0,29437.58777177586,30176.830104883324,0,non-stationkeeping
180,01,45.0,29357.054043547458,30139.017633994452,11.455805672718377,-2.7626361322966013,1.409641519305472,0.03673531416311535,0.0,0.0,0,29415.569035001205,30198.293782051303,0,non-stationkeeping
190,01,45.0,29328.673344901683,30152.265762709554,10.333055074445841,-2.838069864577323,1.324812871510087,-0.1122750598272535,0.0,0.0,0,29393.534648530134,30219.741393096967,0,non-stationkeeping
200,01,45.0,29300.882947939317,30164.31234419943,9.825282285671852,-2.7790396962365658,1.2046581489874055,-0.05077727887739893,0.0,0.0,0,29371.48462408541,30241.172926609746,0,non-stationkeeping
210,01,45.0,29273.58780045719,30176.99122758558,8.597935636303731,-2.729514748212764,1.2678883386148476,-0.12273466493681212,0.0,0.0,0,29349.418973398093,30262.588371187616,0,non-stationkeeping
220,01,45.0,29245.974693326145,30190.45993937838,7.48232729692803,-2.761310713104317,1.346871179280214,-0.11156083393757012,0.0,0.0,0,29327.337708207575,30283.987715437117,0,non-stationkeeping
230,01,45.0,29220.002696305106,30205.045633625235,5.771044158861692,-2.5971997021037403,1.45856942468563,-0.17112831380663385,0.0,0.0,0,29305.240840261544,30305.370947973344,0,non-stationkeeping
240,01,45.0,29193.320067833356,30219.097015725205,5.653881283658353,-2.668262847175132,1.4051382099969285,-0.011716287520333879,0.0,0.0,0,29283.128381316004,30326.738057419974,0,non-stationkeeping
250,01,45.0,29167.494107448056,30230.793555238197,6.654936415552474,-2.582596038530192,1.1696539512990385,0.10010551318941213,0.0,0.0,0,29261.000343135245,30348.089032409258,0,non-stationkeeping
260,01,45.0,29141.2095038683,30241.3313147318,9.58983907630045,-2.628460357975458,1.0537759493603425,0.29349026607479756,0.0,0.0,0,29238.85673749183,30369.423861582036,0,non-stationkeeping
270,01,45.0,29115.58842746371,30250.329740990674,11.380013072562305,-2.5621076404589234,0.8998426258873339,0.1790173996261854,0.0,0.0,0,29216.69757616663,30390.742533587738,0,non-stationkeeping
280,01,45.0,29090.422144928812,30260.337071448565,12.884028767932197,-2.516628253489723,1.0007330457889547,0.1504015695369892,0.0,0.0,0,29194.52287094879,30412.045037084372,0,non-stationkeeping
290,01,45.0,29066.600574697033,30270.726257928283,14.241221291914181,-2.3821570231777773,1.0389186479720531,0.13571925239819838,0.0,0.0,0,29172.332633635695,30433.33136073857,0,non-stationkeeping
300,01,45.0,29043.631029761964,30280.841977465858,13.733748687379984,-2.2969544935068704,1.0115719537572796,-0.05074726045341971,0.0,0.0,0,29150.126876033035,30454.601493225564,0,non-stationkeeping
